network,name,start_time,end_time,latitude,longitude,elevation,components,location_code
XF,H1230,2004-06-24,2005-12-31,30.9321,85.098999,4778.0,BHE BHN BHZ,01
XF,H1240,2004-06-05,2005-12-31,31.0198,85.134102,4731.0,BHE BHN BHZ,--
XF,H1250,2004-06-06,2005-12-31,31.0842,84.997902,4850.0,BHE BHN BHZ,01
XF,H1260,2004-06-06,2005-12-31,31.1549,85.0121,4992.0,BHE BHN BHZ,01
XF,H1270,2004-06-06,2005-12-31,31.225201,85.072098,4726.0,BHE BHN BHZ,01
XF,H1280,2004-06-07,2005-12-31,31.3016,85.129898,4732.0,BHE BHN BHZ,01
XF,H1290,2004-06-06,2005-12-31,31.3783,85.102997,4822.0,BHE BHN BHZ,01
XF,H1300,2004-06-10,2005-12-31,31.4454,85.160103,5050.0,BHE BHN BHZ,01
XF,H1310,2004-06-07,2005-12-31,31.515301,85.1828,5218.0,BHE BHN BHZ,01
XF,H1320,2004-06-10,2005-12-31,31.5837,85.1894,5225.0,BHE BHN BHZ,01
XF,H1330,2004-06-07,2005-12-31,31.6558,85.170403,5132.0,BHE BHN BHZ,01
XF,H1340,2004-06-10,2005-12-31,31.731899,85.140404,5064.0,BHE BHN BHZ,01
XF,H1350,2004-06-07,2005-12-31,31.8029,85.032303,4973.0,BHE BHN BHZ,01
XF,H1360,2004-06-24,2005-12-31,31.862301,84.953598,4988.0,BHE BHN BHZ,01
XF,H1370,2004-06-21,2005-12-31,31.945299,84.892899,4736.0,BHE BHN BHZ,01
XF,H1380,2004-06-20,2005-12-31,32.003899,84.822701,4638.0,BHE BHN BHZ,01
XF,H1390,2004-06-20,2005-12-31,32.072399,84.905197,4586.0,BHE BHN BHZ,01
XF,H1400,2004-06-19,2005-12-31,32.118698,84.694397,4488.0,BHE BHN BHZ,01
XF,H1405,2004-06-21,2005-12-31,32.1805,84.5131,4636.0,BHE BHN BHZ,01
XF,H1410,2004-06-19,2005-12-31,32.2361,84.3739,4561.0,BHE BHN BHZ,01
XF,H1415,2004-06-19,2005-12-31,32.307899,84.218903,4616.0,BHE BHN BHZ,01
XF,H1420,2004-06-20,2005-12-31,31.9347,83.842499,4955.0,BHE BHN BHZ,01
XF,H1421,2004-06-13,2005-12-31,32.008801,83.8713,4792.0,BHE BHN BHZ,01
XF,H1422,2004-06-13,2005-12-31,32.063801,83.8993,4620.0,BHE BHN BHZ,01
XF,H1423,2004-06-13,2005-12-31,32.158699,83.924202,4854.0,BHE BHN BHZ,01
XF,H1425,2004-08-10,2005-12-31,32.281601,84.063698,4489.0,BHE BHN BHZ,01
XF,H1430,2004-06-12,2005-12-31,32.381599,84.131104,4485.0,BHE BHN BHZ,01
XF,H1440,2004-06-12,2005-12-31,32.454498,84.239601,4554.0,BHE BHN BHZ,01
XF,H1450,2004-06-12,2005-12-31,32.524101,84.271599,4652.0,BHE BHN BHZ,01
XF,H1460,2004-06-12,2005-12-31,32.598099,84.223503,4665.0,BHE BHN BHZ,01
XF,H1470,2004-06-14,2005-12-31,32.666698,84.215698,4687.0,BHE BHN BHZ,01
XF,H1480,2004-06-14,2005-12-31,32.7467,84.2164,4655.0,BHE BHN BHZ,01
XF,H1490,2004-06-14,2005-12-31,32.821602,84.2668,4818.0,BHE BHN BHZ,01
XF,H1500,2004-06-17,2005-12-31,32.8946,84.286301,5075.0,BHE BHN BHZ,01
XF,H1510,2004-06-17,2005-12-31,32.949001,84.304703,4964.0,BHE BHN BHZ,01
XF,H1520,2004-06-17,2005-12-31,33.0271,84.314796,4865.0,BHE BHN BHZ,01
XF,H1530,2004-06-17,2005-12-31,33.119099,84.221001,4660.0,BHE BHN BHZ,01
XF,H1540,2004-06-17,2005-12-31,33.193501,84.227798,4824.0,BHE BHN BHZ,01
XF,H1550,2004-06-17,2005-12-31,33.2644,84.245598,4683.0,BHE BHN BHZ,01
XF,H1560,2004-06-15,2005-12-31,33.307098,84.246399,4584.0,BHE BHN BHZ,01
XF,H1570,2004-06-15,2005-12-31,33.421902,84.262901,4700.0,BHE BHN BHZ,01
XF,H1580,2004-06-15,2005-12-31,33.5326,84.291298,4947.0,BHE BHN BHZ,01
XF,H1590,2004-06-16,2005-12-31,33.627899,84.1707,4830.0,BHE BHN BHZ,01
XF,H1600,2004-07-14,2005-12-31,33.750099,84.269501,4678.0,BHE BHN BHZ,01
XF,H1610,2004-06-16,2005-12-31,33.858398,84.262802,4809.0,BHE BHN BHZ,01
XF,H1620,2004-06-16,2005-12-31,33.9664,84.223396,5100.0,BHE BHN BHZ,01
XF,H1630,2004-06-16,2005-12-31,34.065399,84.227402,5342.0,BHE BHN BHZ,01
XF,NBENS,2002-11-08,2005-12-31,28.2379,84.371201,735.0,BHE BHN BHZ,01
XF,NBIRA,2002-10-30,2005-12-31,26.483999,87.266998,12.0,BHE BHN BHZ,01
XF,NBUNG,2002-10-23,2005-12-31,27.8771,85.8909,1191.0,BHE BHN BHZ,01
XF,NDOML,2002-12-10,2005-12-31,27.9753,84.281998,352.0,BHE BHN BHZ,01
XF,NG010,2002-11-02,2005-12-31,27.461399,84.2799,114.0,BHE BHN BHZ,01
XF,NG020,2002-11-01,2005-12-31,27.5702,84.329201,110.0,BHE BHN BHZ,01
XF,NG030,2002-11-01,2005-12-31,27.679701,84.403702,136.0,BHE BHN BHZ,01
XF,NG040,2002-11-08,2005-12-31,27.824301,84.463799,197.0,BHE BHN BHZ,01
XF,NG050,2002-11-09,2005-12-31,27.8606,84.564003,325.0,BHE BHN BHZ,01
XF,NG060,2002-11-07,2005-12-31,28.0016,84.623497,1097.0,BHE BHN BHZ,01
XF,NGUMB,2002-10-31,2005-12-31,27.5562,83.839104,530.0,BHE BHN BHZ,01
XF,NHILE,2002-11-01,2005-12-31,27.048201,87.324203,2088.0,BHE BHN BHZ,01
XF,NJANA,2002-11-03,2005-12-31,26.7106,85.924202,11.0,BHE BHN BHZ,01
XF,NKDMG,2002-10-01,2005-12-31,27.7188,85.316299,1319.0,BHE BHN BHZ,01
XF,NNAMC,2002-10-19,2005-12-31,27.8027,86.7146,3523.0,BHE BHN BHZ,01
XF,NP010,2002-10-31,2005-12-31,27.494801,83.3181,40.0,BHE BHN BHZ,01
XF,NP020,2002-10-31,2005-12-31,27.627399,83.460503,68.0,BHE BHN BHZ,01
XF,NP030,2002-10-31,2005-12-31,27.750401,83.4963,283.0,BHE BHN BHZ,01
XF,NP035,2003-12-30,2005-12-31,27.809,83.522202,774.0,BHE BHN BHZ,01
XF,NP040,2002-10-31,2005-12-31,27.8713,83.536797,1364.0,BHE BHN BHZ,01
XF,NP050,2002-10-30,2005-12-31,27.9361,83.639503,752.0,BHE BHN BHZ,01
XF,NP060,2002-10-30,2005-12-31,27.997101,83.786903,707.0,BHE BHN BHZ,01
XF,NP070,2002-10-29,2005-12-31,28.0784,83.860603,897.0,BHE BHN BHZ,01
XF,NP071,2003-12-29,2005-12-31,28.082199,83.837097,821.0,BHE BHN BHZ,01
XF,NP075,2003-12-29,2005-12-31,28.148701,83.8741,1098.0,BHE BHN BHZ,01
XF,NP080,2002-11-02,2005-12-31,28.214701,84.002502,811.0,BHE BHN BHZ,01
XF,NP082,2003-12-27,2005-12-31,28.278601,83.937698,1241.0,BHE BHN BHZ,01
XF,NP085,2003-12-27,2005-12-31,28.3531,83.954803,1257.0,BHE BHN BHZ,01
XF,NP090,2002-11-01,2005-12-31,28.294201,83.594803,1038.0,BHE BHN BHZ,01
XF,NP100,2002-11-10,2005-12-31,28.7796,83.719101,2735.0,BHE BHN BHZ,01
XF,NPHAP,2002-10-27,2005-12-31,27.514999,86.584198,2488.0,BHE BHN BHZ,01
XF,NRUMJ,2002-11-28,2005-12-31,27.303801,86.548203,1319.0,BHE BHN BHZ,01
XF,NSIND,2002-11-03,2005-12-31,27.210699,85.908798,465.0,BHE BHN BHZ,01
XF,NSUKT,2002-10-24,2005-12-31,27.7057,85.761101,745.0,BHE BHN BHZ,01
XF,NTHAK,2002-10-24,2005-12-31,27.5996,85.556602,1551.0,BHE BHN BHZ,01
XF,NTUML,2002-11-08,2005-12-31,27.320801,87.195,360.0,BHE BHN BHZ,01
XF,T0260,2004-11-09,2004-12-31,29.4491,86.684601,4613.0,BHE BHN BHZ,01
XF,T0340,2004-07-08,2004-12-31,29.688299,89.718498,4386.0,BHE BHN BHZ,01
XR,BB05,1994-06-05,1994-12-31,30.379164,90.910789,4219.0,BHE BHN BHZ,01
XR,BB08,1994-06-04,1994-12-31,30.130085,90.548431,4361.9,BHE BHN BHZ,01
XR,BB10,1994-06-02,1994-12-31,29.997377,90.414238,4369.1,BHE BHN BHZ,01
XR,BB14,1994-05-28,1994-12-31,29.368225,90.184593,3792.6,BHE BHN BHZ,01
XR,BB18,1994-05-29,1994-12-31,28.930105,89.744019,4246.8,BHE BHN BHZ,01
XR,BB20,1994-05-31,1994-12-31,28.727383,89.664375,4245.3,BHE BHN BHZ,01
XR,BB23,1994-06-13,1994-12-31,28.485666,89.658524,4379.8,BHE BHN BHZ,01
XR,BB34,1994-06-08,1994-12-31,29.107706,89.251701,4002.7,BHE BHN BHZ,01
XR,BB36,1994-06-06,1994-12-31,29.81601,90.757042,3910.7,BHE BHN BHZ,01
XR,DONG,1998-07-30,1999-12-31,31.978912,90.912682,4610.0,BHE BHN BHZ,01
XR,LUMP,1997-07-11,1999-12-31,31.899069,89.932472,4619.0,BHE BHN BHZ,01
XR,NASE,1998-08-07,1999-12-31,31.988605,91.705673,4653.0,BHE BHN BHZ,01
XR,NING,1998-08-05,1999-12-31,30.379448,90.912643,4189.0,BHE BHN BHZ,01
XR,NYMA,1998-07-31,1999-12-31,31.782598,87.385384,4598.0,BHE BHN BHZ,01
XR,SANG2,1998-08-01,1999-12-31,31.021564,91.700256,4715.0,BHE BHN BHZ,01
XR,SP01,1994-07-31,1994-12-31,30.844833,91.137314,4785.5,BHE BHN BHZ,01
XR,SP12,1994-08-11,1994-12-31,29.663393,90.350357,4712.4,BHE BHN BHZ,01
XR,SP25,1994-08-05,1994-12-31,28.177841,89.302917,4583.6,BHE BHN BHZ,01
XR,SP27,1994-08-04,1994-12-31,27.671215,89.076263,4311.2,BHE BHN BHZ,01
XR,ST00,1998-07-17,1999-12-31,30.52581,90.102669,4810.0,BHE BHN BHZ,01
XR,ST01,1998-07-17,1999-12-31,30.649693,90.133453,4792.0,BHE BHN BHZ,01
XR,ST02,1998-07-17,1999-12-31,30.786528,90.24913,4801.0,BHE BHN BHZ,01
XR,ST03,1998-07-17,1999-12-31,30.846893,90.191864,4796.0,BHE BHN BHZ,01
XR,ST04,1998-07-16,1999-12-31,30.959303,90.192467,4736.0,BHE BHN BHZ,01
XR,ST05,1998-07-16,1999-12-31,31.040247,90.174088,4836.0,BHE BHN BHZ,01
XR,ST06,1998-07-16,1999-12-31,31.124302,90.097237,5084.0,BHE BHN BHZ,01
XR,ST07,1998-07-16,1999-12-31,31.22624,90.070168,5079.0,BHE BHN BHZ,01
XR,ST08,1998-07-15,1999-12-31,31.299345,90.031418,4899.0,BHE BHN BHZ,01
XR,ST09,1997-07-19,1999-12-31,31.421249,90.004425,4745.0,BHE BHN BHZ,01
XR,ST10,1998-07-15,1999-12-31,31.492811,90.008072,4670.0,BHE BHN BHZ,01
XR,ST11,1998-07-25,1999-12-31,31.581507,89.980629,4738.0,BHE BHN BHZ,01
XR,ST12,1998-07-08,1999-12-31,31.625908,89.883354,4661.0,BHE BHN BHZ,01
XR,ST12A,1998-08-20,1999-12-31,31.639994,89.788757,4642.0,BHE BHN BHZ,01
XR,ST13,1998-07-08,1999-12-31,31.673738,89.717331,4620.0,BHE BHN BHZ,01
XR,ST13A,1998-08-06,1999-12-31,31.726164,89.703094,4596.0,BHE BHN BHZ,01
XR,ST14,1998-07-20,1999-12-31,31.770153,89.708321,4607.0,BHE BHN BHZ,01
XR,ST14A,1998-07-25,1999-12-31,31.798571,89.661125,4511.0,BHE BHN BHZ,01
XR,ST15,1998-07-20,1999-12-31,31.834715,89.640106,4577.0,BHE BHN BHZ,01
XR,ST15A,1998-07-25,1999-12-31,31.850224,89.576607,4574.0,BHE BHN BHZ,01
XR,ST16,1998-07-24,1999-12-31,31.888,89.498436,4505.0,BHE BHN BHZ,01
XR,ST16A,1998-07-24,1999-12-31,31.919558,89.420311,4552.0,BHE BHN BHZ,01
XR,ST17,1998-07-24,1999-12-31,31.938791,89.358009,4591.0,BHE BHN BHZ,01
XR,ST18,1998-07-24,1999-12-31,31.96471,89.269104,4619.0,BHE BHN BHZ,01
XR,ST19,1998-07-10,1999-12-31,32.057594,89.191223,4596.0,BHE BHN BHZ,01
XR,ST19A,1998-07-24,1999-12-31,32.103352,89.194839,4540.0,BHE BHN BHZ,01
XR,ST20,1998-07-09,1999-12-31,32.167656,89.141556,4584.0,BHE BHN BHZ,01
XR,ST21,1998-07-24,1999-12-31,32.228939,89.133705,4655.0,BHE BHN BHZ,01
XR,ST21A,1998-07-24,1999-12-31,32.275047,89.097237,4644.0,BHE BHN BHZ,01
XR,ST22,1998-08-17,1999-12-31,32.332607,89.11631,4707.0,BHE BHN BHZ,01
XR,ST22A,1998-07-27,1999-12-31,32.375031,89.09977,4763.0,BHE BHN BHZ,01
XR,ST23,1998-07-24,1999-12-31,32.422592,89.107643,4727.0,BHE BHN BHZ,01
XR,ST23A,1998-07-26,1999-12-31,32.471375,89.049583,4861.0,BHE BHN BHZ,01
XR,ST24,1998-07-10,1999-12-31,32.479958,88.984085,4905.0,BHE BHN BHZ,01
XR,ST25,1998-07-26,1999-12-31,32.537334,88.940308,4601.0,BHE BHN BHZ,01
XR,ST25A,1998-07-26,1999-12-31,32.611702,88.953743,4806.0,BHE BHN BHZ,01
XR,ST26,1998-07-11,1999-12-31,32.661068,88.915619,4849.0,BHE BHN BHZ,01
XR,ST26A,1998-07-25,1999-12-31,32.697693,88.866997,4833.0,BHE BHN BHZ,01
XR,ST27,1998-07-25,1999-12-31,32.74369,88.850594,4867.0,BHE BHN BHZ,01
XR,ST28,1998-07-11,1999-12-31,32.8218,88.848083,4843.0,BHE BHN BHZ,01
XR,ST29,1998-07-25,1999-12-31,32.93433,88.853157,4829.0,BHE BHN BHZ,01
XR,ST30,1998-07-12,1999-12-31,33.029114,88.854485,4955.0,BHE BHN BHZ,01
XR,ST31,1998-07-25,1999-12-31,33.135399,88.876778,4847.0,BHE BHN BHZ,01
XR,ST32,1997-07-13,1999-12-31,33.242397,88.835167,4927.0,BHE BHN BHZ,01
XR,ST33,1998-07-10,1999-12-31,33.327374,88.831573,5032.0,BHE BHN BHZ,01
XR,ST34,1998-07-10,1999-12-31,33.408573,88.764435,4989.0,BHE BHN BHZ,01
XR,ST35,1998-07-26,1999-12-31,33.476776,88.73629,4941.0,BHE BHN BHZ,01
XR,ST36,1998-07-11,1999-12-31,33.521645,88.601639,5070.0,BHE BHN BHZ,01
XR,ST37,1998-07-11,1999-12-31,33.606358,88.52314,5161.0,BHE BHN BHZ,01
XR,ST38,1998-07-12,1999-12-31,33.653946,88.50457,5069.0,BHE BHN BHZ,01
XR,ST39,1998-07-12,1999-12-31,33.763725,88.400108,5077.0,BHE BHN BHZ,01
XR,ST40,1998-07-12,1999-12-31,33.81459,88.306976,4964.0,BHE BHN BHZ,01
XR,W1,1998-08-02,1999-12-31,32.092289,88.306221,4614.0,BHE BHN BHZ,01
XR,W2,1998-08-01,1999-12-31,31.959986,86.663292,4571.0,BHE BHN BHZ,01
